Bao Sanniang, Shu, Spinner
Fa Zheng, Shu, Woven Cloth
Guan Ping, Shu, Great Sword
Guan Suo, Shu, Nunchaku
Guan Xing, Shu, Wingblades
Guan Yinping, Shu, Dual-Headed Mace
Guan Yu, Shu, Crescent Blade
Huang Zhong, Shu, Bow
Jiang Wei, Shu, Double-Edge Trident
Liu Bei, Shu, Twin Swords
Liu Shan, Shu, Rapier
Ma Chao, Shu, Spear
Ma Dai, Shu, Brush
Pang Ton, Shu, Shadow Fan
Wei Yan, Shu, Double Voulge
Xingcai, Shu, Sword & Shield
Xu Shu, Shu, Sword & Hook
Yueying, Shu, Dagger Axe
Zhang Bao, Shu, Flail Sword
Zhang Fei, Shu, Double Pike
Zhao Yun, Shu, Dragon Spear
Zhuge Liang, Shu, War Fan
