Emperor's Blade, 30, Heaven, 1, Sword
Windflower, 25, Heaven, 2, Sword
Flamebringer, 28, Earth, 3, Sword
Thunderstorm, 14, Heaven, 1, Rapier
Dreamsetter, 20, Earth, 2 Rapier
Motionpeak, 14, Heaven, 1, War Fan
Summitchaser, 24, Man, 3, War Fan
Fellowship of Duty, 16, Earth, 2, Twin Swords
Polar Needles, 23, Heaven, 3, Twin Swords
Scarlet Dawn, 14, Earth, 1, Throwing Knives
Moonlight, 25, Man, 3, Throwing Knives
Dark Mantis, 14, Earth, 1, Chain & Sickle
Flying Ivy, 20, Heaven, 2, Chain & Sickle
Flashbringer, 24, Heaven, 2, Nunchaku
Flamedust, 28, Man, 3, Nunchaku
Seven Stars, 19, Heaven, 2, Staff
Rising Heavens, 24, Man, 3, Staff
Treasure Bow, 10, Heaven, 1, Bow
Violent Torrent, 18, Man, 1, Bow
Dragonbasin, 24, Earth, 2, Bow
Infinity, 22, Man, 2, Shaman Rod
Profusion, 27, Heaven, 3, Shaman Rod
Mirage, 14, Heaven, 1, Iron Fan
Distant Thunder, 25, Earth, 3, Iron Fan
Endless Sky, 25, Heaven, 1, Sword & Shield
Silent Moon, 28, Earth, 2, Sword & Shield
Heavenly Ambition, 24, Man, 2, Flying Swords
Surging Conquest, 28, Heaven, 3, Flying Swords
Darkness, 16, Heaven, 1, Curved Sword
Shadow, 20, Man, 2, Curved Sword
Flowery Rage, 14, Earth, 1, Claws
Reckless Light, 23, Man, 3, Claws
Snowblind, 16, Man, 1, Wheels
Afterglow, 20, Earth, 2, Wheels
Boltbringer, 20, Earth, 2, Chain Whip
Earthshaker, 27, Man, 3, Chain Whip
Spirit Whirl, 22, Man, 2, Spinner
Morning Stroll, 27, Heaven, 3, Spinner
Ice Petals, 19, Man, 2, Flute
Firefly, 24, Heaven, 3, Flute
Bell Harp, 14, Man, 1, Harp
Lunar Melody, 15, Earth, 2, Harp
Demonlight, 14, Man, 1, Orb & Scepter
Ball & Sky, 19, Earth, 2, Orb & Scepter
Apex Tusk, 14, Man, 1, Trishula
Sharp Claws, 23, Heaven, 3, Trishula
Floral Rain, 19, Heavenly, 2, Pugil Stick
Heavenly Canopy, 23, Man, 3, Pugil Stick
Numbness Cloud, 14, Heaven, 1, Lightning Sword
Paralyzing Mist, 14, Earth, 3, Lightning Sword
Eagle Bommerang, 14, Earth, 1, Bommerang
Hawk Bommerang, 22, Heaven, 2, Bommerang
Dragonfly Blade, 21, Man, 1, Sword & Hook
Windtail, 33, Earth, 3, Sword & Hook
Raging Storm, 20, Man, 1, Swallow Swords
Scorched Earth, 25, Earth, 2, Swallow Swords
Armbreaker, 16, Earth, 1, Three Sectional Staff
Icebug, 22, Heaven, 2, Three Sectional Staff
Timely Winds, 20, Earth, 2, Shadow Fan
Windgust, 25, Heaven, 3, Shadow Fan
Crimson Hornet, 14, Heaven, 1, Extension Blade
Drop Thruster, 24, Man, 3, Extension Blade
Binding Talon, 18, Earth, 1, Dual Hookblades
Windgale, 26, Heaven, 2, Dual Hookblades
Lark Wingblade, 16, Man, 1, Wingblades
Shrike Wingblade, 24, Earth, 2, Wingblades
Lion Dance, 22, Earth, 2, Throwing Axes
Sacred Dance, 26, Heaven, 3, Throwing Axes
Black Widow, 14, Earth, 1, Wired Gloves
Silk Moth, 24, Heaven, 3, Wired Gloves
Izuna Foot, 18, Heaven, 1, Sabatons
Kamaitachi Foot, 28, Man, 3, Sabatons
Unearthly Piercer, 14, Heaven, 1, Emei Piercers
Void Piercer, 23, Man, 2, Emei Piercers
Star Breeze, 14, Heaven, 1, Paired Fans
Blossoming Flower, 25, Earth, 3, Paired Fans
Crimson Lantern, 14, Heaven, 1, Flaming Bow
Scarlet Tears, 28, Heaven, 3, Flaming Bow
Answer Key, 14, Earth, 2, Art of War Scroll
Forces of Nature, 27, Man, 3, Art of War Scroll
