Godly Flail, 40, Heaven, 5, Flail
Leg Iron, 42, Man, 5, Flail
Dragonstone Flail, 44, Man, 5, Flail
Demon Slayer, 49, Heaven, 5, Podao
Gold Phoenix, 24, Earth, 5, Podao
Vintage Wine, 51, Earth, 5, Podao
Violent Tusk, 54, Man, 5, Podao
Heaven's Venom, 56, Heaven, 5, Twin Pike
Beam Blade, 59, Earth, 5, Twin Pike
Wave Slicer, 62, Heaven, 5, Twin Pike
Conqueror's Blade, 43, Heaven, 5, General's Sword
Daikon, 45, Man, 5, General's Sword
Purgatory Blade, 47, Man, 5, General's Sword
Imperial Tiger, 49, Heaven, 5, Nine Rings Blade
Saw, 51, Heaven, 5, Nine Rings Blade
Radiant Tiger Blade, 54, Earth, 5, Nine Rings Blade
Qilin Trident, 51, Heaven, 5, Double Edge Trident
Sasumata, 54, Earth, 5, Double Edge Trident
Violent Flash, 56, Man, 5, Double Edge Trident
Golden Might, 46, Heaven, 5, Short Rod
Pointer, 45, Man, 5, Short Rod
Firestrike, 47, Man, 5, Short Rod
Skycrusher, 52, Heaven, 5, Javelin
Harpoon, 55, Heaven, 5, Javelin
Eclipse Spear, 57, Heaven, 5, Javelin
Phoenix Fire Blade, 51, Heaven, 5, Flaming Sword
Matchstick, 54, Heaven, 5, Flaming Sword
Triumphant Blade, 56, Earth, 5, Flaming Sword
Ultimate Collapse, 47, Heaven, 5, Crossed Pike
Golden Spikes, 42, Heaven, 5, Mandarin Duck Hooks
