Emperor's Blade, 30, Heaven, 1, Sword
Emperor's Might, 52, Heaven, 5, Sword
Winner's Trophy, 55, Man, 5, Sword
Turquoise Blade, 57, Heaven, 5, Sword
Verdant Thrust, 37, Heaven, 5, Rapier
Skewered Fish, 39, Man, 5, Rapier
Lightning Rapier, 41, Earth, 5, Rapier
Emerald Wing, 37, Heaven, 5, War Fan
Mechanical Fan, 39, Earth, 5, War Fan
Crystal Fan, 41, Earth, 5, War Fan
Heavenly Swords, 34, Heaven, 5, Twin Swords
Commander's Swords, 36, Earth, 5, Twin Swords
Heavenly Sabers, 37, Man, 5, Twin Swords
Rain Blades, 35, Heaven, 5, Throwing Knives
Bromide, 37, Earth, 5, Throwing Knives
Violet Shower, 39, Man, 5, Throwing, Knives
Heavenly Sickle, 36, Heaven, 5, Chain & Sickle
Gas Pump, 38, Heaven, 5, Chain & Sickle
Gloom Sickle, 40, Heaven, 5, Chain & Sickle
Storm Wave, 44, Heaven, 5, Nunchaku
Child's Cutlery, 46, Man, 5, Nunchaku
Thunder Nunchaku, 48, Earth, 5, Nunchaku
Crimson Cloud, 38, Heaven, 5, Staff
Limousine Cane, 40, Earth, 5, Staff
Orange Phoenix Staff, 42, Man, 5, Staff
Demon Hunter, 52, Heaven, 5, Bow
Beam Bow, 55, Earth, 5, Bow
Jeweld Dragon Bow, 57, Heaven, 5, Bow
Heavenly Scepter, 47, Heaven, 5, Shaman Rod
Asparagus, 49, Heaven, 5, Shaman Rod
Phantom Rod, 52, Man, 5, Shaman Rod
Illusion Fan, 36, Heaven, 5, Iron Fan
Restaurant Menu, 38, Man, 5, Iron Fan
Aquamarine Fan, 40, Earth, 5, Iron Fan
Heavenly Set, 47, Heaven, 5, Sword & Shield
Fish Dinner, 49, Earth, 5, Sword & Shield
Godly Set, 52, Man, 5, Sword & Shield
Aerial Blade, 52, Heaven, 5, Flying Swords
Satellite, 55, Man, 5, Flying Swords
Immortal Blade, 57, Man, 5, Flying Swords
Void, 40, Heaven, 5, Curved Sword
Sword Cane, 42, Heaven, 5, Curved Sword
Faerie, 44, Man, 5, Curved Sword
Elegant Claws, 31, Heaven, 5, Claws
Digger, 33, Heaven, 5, Claws
Jade Claws, 34, Man, 5, Claws
Princess Wheels, 41, Heaven, 5, Wheels
Life Saver, 43, Man, 5, Wheels
Mystical Wheels, 45, Man, 5, Wheels
Phoenix Spine, 40, Heaven, 5, Chain Whip
Toy Serpents, 42, Heaven, 5, Chain Whip
Alluring Thorns, 44, Earth, 5, Chain Whip
Deadly Gale, 42, Heaven, 5, Spinner
Hamburger Flail, 44, Man, 5, Spinner
Aqua Slash, 46, Heaven, 5, Spinner
Pearl Flute, 37, Heaven, 5, Flute
Harmonica, 39, Earth, 5, Flute
Crimson Lotus, 41, Earth, 5, Flute
Heavenly Harp, 33, Heaven, 5, Harp
Accordion, 35, Earth, 5, Harp
Crystal Harp, 36, Earth, 5, Harp
Heavenly Phoenix, 35, Heaven, 5, Orb & Scepter
Hustler's Cue, 37, Earth, 5, Orb & Scepter
Faerie Moon, 39, Earth, 5, Orb & Scepter
Azure Tip, 35, Heaven, 5, Trishula
Model Fighter Jet, 37, Earth, 5, Trishula
Crystal Spikes, 39, Man, 5, Trishula
Butterfly Staff, 32, Heaven, 5, Pugil Stick
Karaoke Mics, 34, Heaven, 5, Pugil Stick
Malign Staff, 35, Heaven, 5, Pugil Stick
Emperor's Light, 37, Heaven, 5, Lightning Sword
Marking Pin, 39, Earth, 5, Lightning Sword
Scarlet Rapier, 41, Earth, 5, Lightning Sword
Heaven's Return, 37, Heaven, 5, Bommerang
Travel Bag, 39, Heaven, 5, Bommerang
Shard Bommerang, 41, Earth, 5, Bommerang
Dispersion Blade, 43, Heaven, 5, Sword & Hook
Whip Crop, 45, Heaven, 5, Sword & Hook
Etch Blade, 47, Earth, 5, Sword & Hook
Tiger Swallow Blades, 41, Man, 5, Swallow Swords
Medical Swords, 39, Man, 5, Swallow Swords
Crimson Swallow, 37, Heaven, 5, Swallow Swords
Violent Storm, 43, Man, 5, Three Sectional Staff
Pain Train, 41, Heaven, 5, Three Sectional Staff
Raging Winds, 39, Heaven, 5, Three Sectional Staff
Leader's Fan, 37, Heaven, 5, Shadow Fan
Intravenous Drip, 39, Heaven, 5, Shadow Fan
Night Moth Fan, 41, Heaven, 5, Shadow Fan
Heaven's Reach, 36, Heaven, 5, Extension Blade
Full Bloom, 38, Earth, 5, Extension Blade
Storm Thrust, 40, Earth, 5, Extension Blade
Talons of Conquest, 49, Heaven, 5, Dual Hookblades
Wrench, 51, Heaven, 5, Dual Hookblades
Celestial Talon, 54, Heaven, 5, Dual Hookblades
Golden Dragon, 37, Heaven, 5, Wingblades
Jumbo Wing, 39, Man, 5, Wingblades
Storm Phoenix, 41, Man, 5, Wingblades
Hidden Essence, 35, Heaven, 5, Throwing Axes
Bowling Pin, 37, Man, 5, Throwing Axes
Demonic Edge, 39, Man, 5, Throwing Axes
Purple Fury, 37, Heaven, 5, Wired Gloves
Octopus Claw, 39, Heaven, 5, Wired Gloves
Wailing Claws, 41, Man, 5, Wired Gloves
Dragon Foot, 51, Man, 5, Sabatons
Skanda Foot, 54, Earth, 5, Sabatons
Darting Phoenix, 56, Man, 5, Sabatons
Immortal Piercer, 36, Earth, 5, Emei Piercers
Brush Piercer, 39, Heaven, 5, Emei Piercers
Viridian Thorn, 40, Earth, 5, Emei Piercers
Soaring Dance, 37, Man, 5, Paired Fans
Protractor, 40, Heaven, 5, Paired Fans
Kingfisher Fan, 42, Earth, 5, Paired Fans
Firebird Shredder, 43, Heaven, 5, Flame Bow
God's Decree Scroll, 44, Heaven, 5, Art of War Scroll
