Emerald Spear, 41, Heaven, 5, Spear
Beam Longspear, 43, Earth, 5, Spear
Thunder Piercer, 45, Earth, 5, Spear
Crimson Fury, 47, Heaven, 5, Pike
Excavator Shovel, 49, Earth, 5, Pike
Divine Phoenix, 52, Heaven, 5, Pike
Hellish Voulge, 51, Heaven, 5, Double Voulge
Combat Slicer, 54, Earth, 5, Double Voulge
Twilight Flash, 56, Earth, 5, Double Voulge
Soaring Dragon, 56, Heaven, 5, Great Sword
Suitcase, 59, Earth, 5, Great Sword
Thunder Slicer, 62, Man, 5, Great Sword
Bull Club, 47, Heaven, 5, Club
Roast Chicken, 49, Earth, 5, Club
Demonic Club, 52, Man, 5, Club
Shaman's Goves, 54, Heaven, 5, Gloves
Alien Gauntlets, 57, Earth, 5, Gloves
Chieftan Gauntlets, 59, Heaven, 5, Gloves
Soul Crusher, 66, Heaven, 5, Halberd
Stringed Piercer, 40, Heaven, 5, Halberd
Skewer Halberd, 69, Earth, 5, Halberd
Unearthly Halberd, 73, Earth, 5, Halberd
Dragon Aes, 47, Heaen, 5, Twin Axes
Emergency Lights, 49, Earth, 5, Twin Axes
Twin Sirius Axes, 52, Heaven, 5, Twin Axes
Spear of Armageddon, 48, Heaven, 5, Lance
Ice Cream Cone, 50, Earth, 5, Lance
Spiral Blast, 53, Earth, 5, Lance
Demon Rods, 54, Heaven, 5, Twin Rods
Hot Dog, 57, Man, 5, Twin Rods
Wailing Rods, 59, Earth, 5, Twin Rods
Roaring Axe, 51, Heaven, 5, Axe
Battle God's Axe, 54, Heaven, 5, Axe
Verdant Axe, 56, Heaven, 5, Axe
Conqueror's Roar, 37, Heaven, 5, Tonfa
Unicycle, 39, Earth, 5, Tonfa
Demon Tonfa, 41, Heaven, 5, Tonfa
Falcon Strike, 43, Heaven, 5, Crossbow
Harpoon Gun, 45, Earth, 5, Crossbow
Grand Crossbow, 47, Earth, 5, Crossbow
Earthshaker, 54, Heaven, 5, Arm Cannon
Submarine, 57, Earth, 5, Arm Cannon
Nayuta Cannon, 59, Man, 5, Arm Cannon
Heavenly Brush, 36, Heaven, 5, Brush
Kiseru Pipe, 38, Heaven, 5, Brush
Kingfisher Brush, 40, Earth, 5, Brush
Destruction, 36, Heaven, 5, Dagger Axe
Three Wood, 38, Man, 5, Dagger Axe
Shadow's Tear, 40, Earth, 5, Dagger Axe
Demon Bomb, 51, Heaven, 5, Bomb
Field Goal, 54, Earth, 5, Bomb
Destruction Bomb, 56, Heaven, 5, Bomb
Stormy Pike, 47, Heaven, 5, Short Pike
Pick Axe, 49, Earth, 5, Short Pike
Fiery Ko, 52, Heaven, 5, Short Pike
Soulcleave, 51, Heaven, 5, Great Axe
Matoi, 54, Man, 5, Great Axe
Smoldering Cleaver, 56, Man, 5, Great Axe
World Smasher 47, Heaven, 5, Mace
Emergency Ladder, 49, Heaven, 5, Mace
Wave Breaker, 52, Heave, 5, Mace
Talon Wall, 52, Heaven, 5, Spiked Shield
Notebook, 55, Man, 5, Spiked Shield
Crystal Scales, 57, Earth, 5, Spiked Shield
Tiger's Edge, 55, Heaven, 5, Arm Blade
Snowboard, 58, Man, 5, Arm Blade
Tortoise Edge, 61, Man, Arm Blade
Golbin Chakram, 51, Heaven, 5, Circle Blade
Hazard Triangle, 54, Heaven, 5, Circle Blade
Dragon Slicer, 56, Earth, 5, Circle Blade
Spear of Conquest, 56, Heaven, 5, Siege Spear
Speedboat, 59, Earth, 5, Siege Spear
Blazing Lance, 62, Heaven, 5, Siege Spear
Bow of Destruction, 43, Heaven, 5, Bow & Rod
Penknife, 45, Earth, 5, Bow & Rod
Sacred Lion Bow, 47, Earth, 5, Bow & Rod
Heavenly Destruction, 51, Heaven, 5, Wheeled Halberd
Pizza Peel, 54, Man, 5, Wheeled Halberd
Demonic Chao, 56, Earth, 5, Wheeled Halberd
Deadly Incisors, 50, Heaven, 5, Rake
Wooden Cutlery, 53, Earth, 5, Rake
Ice Wolf Fangs, 55, Heaven, 5, Rake
Dragon Smasher, 57, Heaven, 5, Dual-Headed Mace
Shogi Staff, 60, Heaven, 5, Dual-Headed Mace
Chimera Mace, 63, Earth, 5, Dual-Headed Mace
Blinding Crossbow, 40, Man, 5, Revolving Crossbow
Telescope, 42, Earth, 5, Revolving Crossbow
Heavely Tempest, 44, Man, 5, Revolving Crossbow
Hedes Judgement, 47, Heaven, 5, War Trident
Basilisk's Bane, 47, Heaven, 5, Stele
