2020.10.18 22:31:02 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2020.10.18 22:31:03 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2020.10.18 22:31:03 INFO  web[][o.e.p.PluginsService] no modules loaded
2020.10.18 22:31:03 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2020.10.18 22:31:03 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2020.10.18 22:31:03 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2020.10.18 22:31:05 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2020.10.18 22:31:05 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.5.0.37579 / 20b0f1c71ae6cf793f1607fa0d46adc574b9dbdd
2020.10.18 22:31:05 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.10.18 22:31:05 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: C:\Users\Haku Wei\Downloads\sonarqube-8.5.0.37579\sonarqube-8.5.0.37579\data
2020.10.18 22:31:05 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.10.18 22:31:05 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2020.10.18 22:31:05 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: C:\Users\Haku Wei\Downloads\sonarqube-8.5.0.37579\sonarqube-8.5.0.37579
2020.10.18 22:31:05 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2020.10.18 22:31:05 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.13.1.21947 / 6b0b8a220b9698836e5489199ca0a4e09bc778ff
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin CSS Code Quality and Security / 1.3.0.1580 / 750f1f3498bad86babd886888b2dae8a1213f8f4
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.0.898 / f65b288e6c2888393bd7fb72ad7ac1425f88eebf
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 6.8.0.23379 / 1eb56f1dc616bc0c52994040288593bc0170136f
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 6.5.0.13383 / 571826181a8fdfbefd8d16a8a020f48b9d74676b
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.9.0.6331 / 5951b3f0be60713cb05ec3608734e2489a4b0670
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.1.0.7619 / afa4cc5b20ce4ae18a7cba39f196ea7bee64eaa0
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarFlex / 2.5.1.1831 / a0c44437f6abb0feec76edd073f91fec64db2a6c
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarGo / 1.6.0.719 / edcc6a9e42fcdd30bb6f84a779c6cd7009ec72fd
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarHTML / 3.2.0.2082 / 997a51b39c4d0a5399c73a8fb729030a69eb392b
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarKotlin / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarRuby / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarScala / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin SonarXML / 2.0.1.2020 / c5b84004face582d56f110e24c29bf9c6a679e69
2020.10.18 22:31:06 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin VB.NET Code Quality and Security / 8.13.1.21947 / 6b0b8a220b9698836e5489199ca0a4e09bc778ff
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2020.10.18 22:31:07 INFO  web[][DbMigrations] Executing DB migrations...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #1 'Create initial schema'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=112ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #2 'Populate initial schema'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=20ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3000 'Set Organizations#guarded column nullable'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3000 'Set Organizations#guarded column nullable': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3001 'Create ProjectQualityGates table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3001 'Create ProjectQualityGates table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3002 'Make index on DEPRECATED_RULE_KEYS.RULE_ID non unique'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3002 'Make index on DEPRECATED_RULE_KEYS.RULE_ID non unique': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table': success | time=5ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3008 'Remove leak period properties'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3008 'Remove leak period properties': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured''...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured'': success | time=6ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property': success | time=3ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting': success | time=6ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type': success | time=1ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status '...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status ': success | time=6ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots '...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots ': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS''...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS'': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3205 'Add PROJECTS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3205 'Add PROJECTS table': success | time=2ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table'...
2020.10.18 22:31:07 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 projects processed (0 items/sec)
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table': success | time=4ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table'...
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table': success | time=13ms
2020.10.18 22:31:07 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures'...
